txn_id,date,account_id,type,amount,channel,status
TXN0000156,2026-03-11,ACC116093,fee,68.37,atm,completed
TXN0000157,2025-06-10,ACC919488,withdrawal,1124.74,mobile,completed
TXN0000158,2024-12-31,ACC993744,fee,64.03,phone,completed
TXN0000159,2024-11-28,ACC896290,transfer,9402.92,online,pending
TXN0000160,2026-03-31,ACC346174,deposit,9262.85,mobile,reversed
TXN0000161,2026-01-06,ACC203225,deposit,6510.99,branch,completed
TXN0000162,2025-08-21,ACC148225,transfer,13551.6,mobile,completed
TXN0000163,2025-07-10,ACC551607,transfer,5378.55,atm,completed
TXN0000164,2024-08-23,ACC278240,fee,59.65,atm,completed
TXN0000165,2025-09-20,ACC711484,fee,18.82,atm,completed
TXN0000166,2025-01-24,ACC799233,transfer,6894.91,branch,pending
TXN0000167,2026-06-27,ACC265649,fee,51.14,branch,completed
TXN0000168,2026-05-04,ACC413685,transfer,14814.81,online,completed
TXN0000169,2024-10-17,ACC503380,fee,15.74,online,completed
TXN0000170,2025-07-04,ACC833247,fee,43.54,mobile,completed
TXN0000171,2024-10-26,ACC819112,fee,42.88,branch,pending
TXN0000172,2026-03-29,ACC913423,fee,67.82,atm,completed
TXN0000173,2025-07-10,ACC299367,transfer,3287.02,phone,completed
TXN0000174,2025-12-15,ACC757937,withdrawal,9424.65,branch,completed
TXN0000175,2025-08-31,ACC237795,fee,28.0,branch,pending
TXN0000176,2025-09-22,ACC284171,transfer,11212.84,atm,completed
TXN0000177,2025-10-20,ACC385765,transfer,7963.96,atm,completed
TXN0000178,2025-03-18,ACC455168,fee,22.84,branch,completed
TXN0000179,2026-02-21,ACC336574,deposit,2113.5,online,failed
TXN0000180,2026-06-07,ACC513741,transfer,1356.82,branch,completed
TXN0000181,2025-06-23,ACC805511,deposit,6823.15,mobile,completed
TXN0000182,2025-11-02,ACC345180,transfer,1627.42,online,completed
TXN0000183,2026-04-09,ACC332120,transfer,13729.05,branch,completed
TXN0000184,2026-01-24,ACC528129,fee,23.36,branch,completed
TXN0000185,2026-06-07,ACC616554,deposit,4567.21,branch,completed
TXN0000186,2025-08-11,ACC489033,withdrawal,5831.22,phone,completed
TXN0000187,2025-06-11,ACC786735,withdrawal,13281.49,branch,completed
TXN0000188,2026-04-21,ACC823811,fee,21.7,mobile,completed
TXN0000189,2026-06-19,ACC204180,fee,64.3,mobile,completed
TXN0000190,2025-09-13,ACC389282,transfer,910.6,atm,failed
TXN0000191,2025-06-26,ACC770556,fee,16.7,phone,reversed
TXN0000192,2026-06-11,ACC355400,deposit,11802.45,atm,completed
TXN0000193,2024-11-15,ACC902325,withdrawal,1031.48,phone,completed
TXN0000194,2026-02-12,ACC344316,withdrawal,12196.26,mobile,completed
TXN0000195,2026-05-15,ACC251716,deposit,4160.93,atm,completed
TXN0000196,2025-07-18,ACC127032,withdrawal,1651.12,atm,completed
TXN0000197,2025-06-29,ACC116547,withdrawal,8833.82,atm,completed
TXN0000198,2025-02-01,ACC651640,withdrawal,11126.42,branch,completed
TXN0000199,2026-02-18,ACC722503,fee,27.79,branch,completed
TXN0000200,2025-01-23,ACC145471,withdrawal,14181.37,phone,completed
TXN0000201,2026-04-28,ACC602248,deposit,914.73,online,completed
TXN0000202,2025-11-22,ACC565108,deposit,7355.31,branch,pending
TXN0000203,2025-02-15,ACC168872,transfer,9125.44,atm,completed
TXN0000204,2026-03-01,ACC726410,transfer,5715.11,phone,completed
TXN0000205,2026-03-11,ACC994217,fee,52.93,phone,completed
TXN0000206,2025-08-23,ACC339592,withdrawal,6452.47,online,completed
TXN0000207,2025-07-26,ACC427730,fee,54.99,online,completed
TXN0000208,2025-11-13,ACC260053,transfer,5616.08,online,completed
TXN0000209,2025-01-16,ACC201255,deposit,1400.72,mobile,completed
TXN0000210,2025-02-13,ACC688866,deposit,8798.01,phone,completed
TXN0000211,2025-06-21,ACC797660,deposit,6163.6,online,pending
TXN0000212,2024-09-13,ACC729575,deposit,14526.06,mobile,completed
TXN0000213,2026-01-20,ACC605612,withdrawal,2323.07,atm,completed
TXN0000214,2025-02-21,ACC485415,transfer,12680.99,branch,completed
TXN0000215,2025-01-13,ACC986209,withdrawal,12108.8,phone,reversed
TXN0000216,2025-02-11,ACC789786,deposit,9135.9,mobile,completed
TXN0000217,2025-04-01,ACC423993,transfer,10541.22,mobile,completed
TXN0000218,2025-03-20,ACC693830,withdrawal,13048.27,online,completed
TXN0000219,2026-06-08,ACC656251,deposit,1378.64,atm,completed
TXN0000220,2025-09-07,ACC856648,fee,28.38,mobile,completed
TXN0000221,2024-09-15,ACC263137,deposit,13250.42,atm,completed
TXN0000222,2024-10-30,ACC385320,deposit,10110.35,online,completed
TXN0000223,2024-11-09,ACC326040,fee,31.65,phone,completed
TXN0000224,2025-01-10,ACC721946,fee,51.19,online,completed
TXN0000225,2025-05-08,ACC514463,transfer,683.65,phone,completed
TXN0000226,2026-01-05,ACC321494,withdrawal,4523.04,atm,completed
TXN0000227,2024-11-10,ACC108105,transfer,4923.52,online,completed
TXN0000228,2026-01-14,ACC658453,withdrawal,1939.96,atm,completed
TXN0000229,2024-12-28,ACC878086,transfer,1083.45,branch,completed
TXN0000230,2024-09-02,ACC703727,fee,64.8,online,completed
TXN0000231,2025-06-02,ACC440544,fee,30.97,atm,completed
TXN0000232,2025-05-27,ACC192410,fee,69.06,online,completed
TXN0000233,2025-03-29,ACC519902,withdrawal,6536.56,phone,completed
TXN0000234,2025-09-09,ACC332335,transfer,11187.71,mobile,completed
TXN0000235,2025-07-11,ACC219565,deposit,7658.47,phone,completed
TXN0000236,2025-06-02,ACC958729,transfer,5268.12,atm,completed
TXN0000237,2024-09-01,ACC281926,withdrawal,3841.38,phone,completed
TXN0000238,2024-12-22,ACC910389,deposit,2659.25,online,completed
TXN0000239,2026-04-22,ACC774225,fee,66.27,phone,completed
TXN0000240,2025-06-06,ACC171603,transfer,2266.48,online,completed
TXN0000241,2025-05-13,ACC720148,transfer,11945.45,branch,completed
TXN0000242,2026-06-17,ACC573866,deposit,4657.84,branch,completed
TXN0000243,2026-03-04,ACC996840,transfer,1153.27,branch,completed
TXN0000244,2025-10-11,ACC930281,fee,42.02,branch,completed
TXN0000245,2026-01-06,ACC598733,withdrawal,4824.6,phone,completed
TXN0000246,2024-07-30,ACC950360,deposit,6759.22,mobile,reversed
TXN0000247,2026-05-11,ACC280941,deposit,7569.47,branch,completed
TXN0000248,2026-05-30,ACC739427,fee,39.78,atm,completed
TXN0000249,2026-03-01,ACC912085,transfer,5812.78,mobile,completed
TXN0000250,2025-10-05,ACC778748,deposit,11838.93,mobile,completed
TXN0000251,2025-05-06,ACC505341,deposit,8370.55,mobile,completed
TXN0000252,2025-07-20,ACC711046,withdrawal,5002.1,atm,pending
TXN0000253,2024-07-19,ACC832409,transfer,14515.53,online,completed
TXN0000254,2025-04-14,ACC494976,deposit,4645.45,mobile,completed
TXN0000255,2025-03-03,ACC543973,deposit,9691.26,phone,completed
TXN0000256,2026-02-20,ACC324597,transfer,4634.72,mobile,failed
TXN0000257,2025-05-13,ACC262471,fee,75.0,branch,completed
TXN0000258,2026-05-08,ACC665990,deposit,7616.58,phone,completed
TXN0000259,2026-06-07,ACC748052,transfer,13146.2,atm,completed
TXN0000260,2026-04-25,ACC971728,withdrawal,2435.8,phone,completed
TXN0000261,2025-06-05,ACC145814,withdrawal,10818.44,online,completed
TXN0000262,2025-09-06,ACC740255,withdrawal,14543.91,mobile,completed
TXN0000263,2026-02-15,ACC947903,fee,18.7,online,pending
TXN0000264,2026-02-05,ACC698128,withdrawal,5519.19,online,completed
TXN0000265,2025-09-12,ACC627335,transfer,11672.42,phone,completed
TXN0000266,2026-03-28,ACC940181,withdrawal,12253.83,phone,completed
TXN0000267,2025-10-26,ACC603935,transfer,785.07,mobile,completed
TXN0000268,2026-06-12,ACC640970,deposit,10671.74,branch,completed
TXN0000269,2025-01-02,ACC638289,withdrawal,4093.69,atm,completed
TXN0000270,2025-07-29,ACC332823,deposit,14196.33,online,pending
TXN0000271,2025-01-01,ACC515712,deposit,6224.92,phone,completed
TXN0000272,2025-02-11,ACC129556,fee,28.74,mobile,failed
TXN0000273,2025-06-18,ACC244283,transfer,11871.23,branch,completed
TXN0000274,2025-07-27,ACC839808,fee,11.27,online,completed
TXN0000275,2024-08-06,ACC119927,deposit,13588.1,mobile,completed
TXN0000276,2025-05-13,ACC862560,withdrawal,8233.19,phone,completed
TXN0000277,2025-04-02,ACC349183,deposit,11643.15,mobile,completed
TXN0000278,2025-12-16,ACC932463,withdrawal,6298.83,phone,completed
TXN0000279,2025-12-24,ACC624108,deposit,12550.72,phone,completed
TXN0000280,2026-03-26,ACC405420,withdrawal,10778.87,online,completed
TXN0000281,2025-05-25,ACC536802,transfer,3610.36,atm,completed
TXN0000282,2026-01-28,ACC478120,deposit,7853.46,branch,failed
TXN0000283,2024-11-20,ACC592972,deposit,5858.33,branch,completed
TXN0000284,2026-04-28,ACC117031,transfer,3806.62,mobile,completed
TXN0000285,2025-07-13,ACC789023,transfer,3618.79,branch,completed
TXN0000286,2026-06-29,ACC469412,transfer,2003.31,phone,completed
TXN0000287,2024-10-22,ACC817941,withdrawal,12456.18,online,reversed
TXN0000288,2025-11-10,ACC166165,fee,61.05,online,completed
TXN0000289,2025-09-02,ACC309159,withdrawal,659.48,branch,completed
TXN0000290,2024-08-04,ACC955015,transfer,7731.97,phone,completed
TXN0000291,2026-06-19,ACC300386,deposit,11299.98,mobile,completed
TXN0000292,2025-05-17,ACC448048,deposit,12987.31,mobile,completed
TXN0000293,2025-10-17,ACC519453,transfer,6555.68,online,pending
TXN0000294,2025-09-26,ACC825686,fee,14.82,online,completed
TXN0000295,2025-12-11,ACC862400,transfer,12017.72,online,completed
TXN0000296,2024-08-05,ACC436814,withdrawal,8183.25,branch,completed
TXN0000297,2024-09-18,ACC731894,transfer,4599.17,online,completed
TXN0000298,2025-11-26,ACC469685,fee,4.13,phone,reversed
TXN0000299,2025-06-12,ACC929924,transfer,9592.94,branch,completed
TXN0000300,2024-10-28,ACC812413,fee,60.28,atm,failed
TXN0000301,2026-05-19,ACC811027,withdrawal,12730.42,online,completed
TXN0000302,2025-07-08,ACC776502,deposit,3541.84,mobile,completed
TXN0000303,2024-12-03,ACC812048,deposit,9077.41,online,failed
TXN0000304,2024-08-23,ACC180620,transfer,6660.48,phone,completed
TXN0000305,2025-02-02,ACC781113,transfer,5972.02,mobile,completed
TXN0000306,2025-05-05,ACC295085,deposit,391.14,online,completed
TXN0000307,2025-03-26,ACC372933,deposit,3928.5,online,completed
TXN0000308,2024-12-26,ACC615060,transfer,10410.47,atm,completed
TXN0000309,2025-07-03,ACC848022,deposit,6782.01,online,reversed
TXN0000310,2025-03-25,ACC844007,transfer,10018.43,branch,completed
TXN0000311,2025-04-03,ACC992717,transfer,13370.25,atm,completed
