loan_id,customer_name,loan_type,principal,interest_rate,term_months,status
LN000036,Melissa Myers,Personal Loan,1532.38,11.283,24,Paid Off
LN000037,Teresa Collins,Student Loan,82985.73,4.496,120,Current
LN000038,Rickey Li,HELOC,126851.08,7.385,120,Current
LN000039,Sandra Rodgers,Business Loan,381470.49,9.743,36,Delinquent
LN000040,Kelsey Lucas,Mortgage,415531.21,3.242,240,Current
LN000041,Ivan Cox,Mortgage,308197.14,7.297,360,Current
LN000042,Daniel Meza,Personal Loan,2007.27,13.052,36,Current
LN000043,Mr. Chad Jones,Auto Loan,26502.18,6.091,72,Delinquent
LN000044,Ashley Wise,Student Loan,41106.91,4.477,240,Current
LN000045,Sophia Johnson,Mortgage,134965.47,4.71,180,Paid Off
LN000046,Ralph Anderson,Auto Loan,46462.08,5.664,60,Current
LN000047,Christopher Guerra,Personal Loan,16121.02,6.92,36,Current
LN000048,Rhonda Martin,Business Loan,232689.18,8.075,120,Current
LN000049,Jason Rhodes,Mortgage,317122.57,5.686,180,Paid Off
LN000050,Jeremy Mitchell,Business Loan,20985.2,7.327,84,Current
LN000051,Joann Ferguson,HELOC,136729.06,6.86,60,Current
LN000052,Robert Harrison,Business Loan,97208.35,6.807,60,Current
LN000053,Holly Valentine,Mortgage,192028.96,4.895,240,Current
LN000054,Mrs. Diane Reyes,Mortgage,321953.69,6.244,180,Current
LN000055,Tracy Montoya,HELOC,37376.75,4.677,60,Current
LN000056,Brenda Wright,Business Loan,176125.35,7.279,120,Paid Off
LN000057,Shelly Spencer,Business Loan,177347.07,5.817,120,Current
LN000058,Ryan Rosales,Student Loan,24080.89,3.888,180,Current
LN000059,Phillip Nelson,Personal Loan,10909.24,14.71,48,Paid Off
LN000060,Brittany Kim,Personal Loan,13785.88,9.285,48,In Review
LN000061,Courtney Hayes,Auto Loan,38795.81,7.59,48,Current
LN000062,Alexander Brown,Student Loan,48854.11,4.048,240,Paid Off
LN000063,Cynthia Vang,Student Loan,11570.07,6.365,180,Current
LN000064,Alfred Galvan,Personal Loan,9228.72,12.437,24,Paid Off
LN000065,Marie Moody,Mortgage,380874.7,5.157,360,Current
LN000066,Dustin Gallegos,HELOC,139289.41,6.092,180,Current
LN000067,Brenda Thornton,Personal Loan,24855.57,11.344,60,Charged Off
LN000068,Aaron Miller,Mortgage,595199.21,5.991,360,Current
LN000069,Ruben Dunn,HELOC,16201.54,7.387,180,Current
LN000070,Kelsey Rodriguez,Personal Loan,33834.37,6.954,48,Current
LN000071,Eric Williams,Auto Loan,34555.16,6.175,48,Current
LN000072,Riley Bryant,Student Loan,60916.05,3.754,240,In Review
LN000073,Taylor Carlson,Business Loan,65706.44,10.523,84,Current
LN000074,Jose Allen,Student Loan,18459.14,4.715,180,Paid Off
LN000075,Jeffrey Mendez,HELOC,77609.64,4.488,120,Delinquent
LN000076,Jason Beck,Business Loan,169671.09,5.268,60,Delinquent
LN000077,William Jones,Mortgage,648950.61,3.492,360,Paid Off
LN000078,Katie Mcneil,Student Loan,28171.73,5.76,120,Current
LN000079,Jeanette Harrison,Business Loan,479854.37,9.787,36,Current
LN000080,Veronica King,Auto Loan,41304.9,5.873,72,Delinquent
LN000081,Richard Cooper,Auto Loan,31377.9,5.833,72,Delinquent
LN000082,Lori Ingram,Auto Loan,22473.93,6.964,36,Paid Off
LN000083,Evelyn Williams,HELOC,36174.38,4.985,120,Current
LN000084,Robin Thompson,Student Loan,86950.47,7.83,240,Current
LN000085,Julie Dominguez,Business Loan,311484.58,5.685,120,Current
LN000086,Robin Brown,Business Loan,314420.9,10.512,60,Current
LN000087,Judith Carter,Student Loan,17725.04,4.193,120,Current
LN000088,Curtis Williams,Personal Loan,24576.84,9.496,60,Current
LN000089,Kaylee Hays,HELOC,63719.39,6.433,60,Current
LN000090,Dawn Mullins,Student Loan,93416.02,5.775,120,Current
LN000091,Howard Norman,Auto Loan,17729.13,7.216,72,Paid Off
LN000092,Evelyn Martinez,Mortgage,404687.98,6.668,180,In Review
LN000093,Steve Paul,HELOC,101429.77,7.423,120,Current
LN000094,Jasmine Beltran,Business Loan,252019.26,8.392,24,Paid Off
LN000095,Jonathan Glass MD,Auto Loan,23188.68,4.849,60,Current
LN000096,Monica Miller,Business Loan,289340.47,8.298,84,Current
LN000097,Samantha Gardner,Mortgage,259485.57,6.705,360,Current
LN000098,Bobby Guerrero,Mortgage,589202.77,5.459,240,In Review
LN000099,Lance Simmons,Mortgage,573112.43,6.381,360,Current
LN000100,Heather Williams,Mortgage,381320.67,6.88,240,Current
LN000101,Heather Bolton,Mortgage,599673.21,3.944,180,Delinquent
LN000102,William Gould,Student Loan,38309.93,6.051,240,Current
LN000103,Mark Cox,HELOC,29492.9,8.068,60,Paid Off
LN000104,Meghan Cisneros,HELOC,59114.17,6.984,120,Current
LN000105,Lawrence Harrington,Student Loan,32800.3,4.337,240,Paid Off
LN000106,Austin Osborne,Student Loan,82442.19,7.814,120,Paid Off
LN000107,James Bradley,Mortgage,744965.77,3.571,360,Paid Off
LN000108,Meghan Rush,Auto Loan,15604.66,8.471,60,Paid Off
LN000109,Phillip Berry,Student Loan,42306.57,5.887,120,Current
LN000110,Jennifer Banks,Business Loan,196958.58,8.802,24,Paid Off
LN000111,Brian Fitzgerald,Mortgage,349910.02,4.252,360,In Review
LN000112,Mr. Justin Green III,Personal Loan,16459.65,8.946,48,Current
LN000113,Zachary Mitchell,Student Loan,13848.46,6.174,180,Delinquent
LN000114,Katherine Martinez,Mortgage,613104.21,3.98,240,Current
LN000115,Jodi Roach,Auto Loan,33725.18,8.47,60,Current
LN000116,Brandon Fleming,HELOC,28283.2,7.942,120,Paid Off
LN000117,Emma Reed,Mortgage,110781.76,6.528,360,Current
LN000118,Joshua Vance,Mortgage,702720.03,4.986,180,Current
LN000119,Michelle Ho,Business Loan,113124.33,10.293,36,Current
LN000120,Rebecca Hicks,Personal Loan,4173.56,8.254,36,Current
LN000121,Curtis Taylor,Student Loan,20724.88,6.128,180,Delinquent
LN000122,Allison Spencer,Auto Loan,30320.01,7.722,36,Current
LN000123,Robert Arnold,Business Loan,52800.28,6.357,120,Delinquent
LN000124,Angelica Parker,Mortgage,85401.92,6.677,240,In Review
LN000125,Dr. Kelly Hammond DVM,Business Loan,351605.04,5.425,84,Current
LN000126,William Day,Student Loan,81565.9,4.567,120,Paid Off
LN000127,Michael Cooper,Auto Loan,27901.49,7.349,48,Delinquent
LN000128,Penny Bowman,Mortgage,435440.55,5.746,180,Current
LN000129,Vincent Reynolds,Personal Loan,25562.69,14.279,24,Current
LN000130,Amy Martinez,Business Loan,432081.82,10.38,24,Current
LN000131,Christopher Morris,Mortgage,475014.52,4.582,240,Current
LN000132,Hannah Everett,Auto Loan,20884.89,4.989,36,Current
LN000133,Sarah King,Student Loan,62721.34,3.134,240,Paid Off
LN000134,Krista Martinez,Personal Loan,7985.15,10.586,60,Delinquent
LN000135,Joseph Shaw,Personal Loan,22969.77,10.454,24,Current
LN000136,Todd Moore,Business Loan,324469.93,8.17,24,In Review
LN000137,Michelle Jacobs,Personal Loan,32753.43,9.482,24,Paid Off
LN000138,Kristy Bryan,Business Loan,192225.04,9.576,36,In Review
LN000139,Angel May,Mortgage,91181.9,3.062,180,Current
LN000140,Marilyn Wang,Mortgage,715615.6,5.28,240,Current
LN000141,Mark Jimenez,HELOC,117395.4,7.509,120,Current
LN000142,Donna Frye,HELOC,85271.75,5.387,60,Current
LN000143,Dr. Michael Evans,HELOC,138929.48,6.682,60,Current
LN000144,Anthony Gonzales,Student Loan,77506.29,6.405,240,Current
LN000145,Mr. Lawrence Edwards,Student Loan,46561.17,3.29,120,Current
LN000146,Morgan Valencia,Business Loan,71253.49,8.653,120,Current
LN000147,Bianca Wood,Student Loan,67514.97,3.597,120,Delinquent
LN000148,Emma Owens,Student Loan,6078.31,7.765,180,Current
LN000149,David Davis,Student Loan,29628.46,3.635,180,Paid Off
LN000150,James Gilbert,Personal Loan,25919.82,12.943,12,Current
LN000151,Sean Moore,Business Loan,146910.59,6.578,24,In Review
LN000152,Kenneth Edwards,Student Loan,12321.65,5.554,180,Current
